OldState	Action		NewState
180.13		7008.3		1038.6			
180.457		7020.26		1038.8			
180.782		7032.48		1038.99			
181.108		7044.36		1039.18			
181.432		7056.38		1039.36			
181.754		7068.74		1039.55			
182.076		7081.4		1039.73			
182.397		7093.45		1039.91			
182.717		7105.73		1040.09			
183.036		7118.26		1040.25			
183.354		7130.97		1040.42			
183.673		7142.8		1040.6			
183.99		7154.87		1040.77			
184.306		7167.12		1040.93			
184.621		7179.36		1041.1			
184.937		7190.84		1041.27			
185.252		7202.59		1041.44			
185.565		7214.54		1041.6			
185.878		7226.34		1041.77			
186.191		7237.69		1041.93			
186.503		7249.36		1042.09			
186.813		7261.27		1042.25			
187.123		7272.9		1042.41			
187.432		7284.38		1042.57			
187.74		7296.16		1042.72			
188.047		7308.17		1042.88			
188.354		7319.69		1043.03			
188.66		7331.26		1043.19			
188.965		7343.05		1043.33			
189.269		7355.0		1043.48			
189.573		7366.19		1043.63			
189.876		7377.62		1043.78			
190.177		7389.23		1043.92			
190.478		7400.74		1044.07			
190.779		7411.75		1044.2			
191.078		7423.01		1044.34			
191.376		7434.44		1044.48			
191.674		7445.54		1044.62			
191.972		7456.48		1044.76			
192.268		7467.68		1044.89			
192.563		7479.05		1045.03			
192.858		7489.89		1045.16			
193.152		7500.89		1045.28			
193.444		7512.1		1045.41			
193.736		7523.34		1045.54			
194.028		7534.11		1045.67			
194.318		7545.13		1045.8			
194.607		7556.32		1045.92			
194.896		7567.22		1046.04			
195.184		7577.97		1046.16			
195.471		7588.91		1046.28			
195.757		7599.98		1046.4			
196.043		7610.5		1046.52			
196.328		7621.17		1046.63			
196.612		7632.0		1046.75			
196.895		7642.74		1046.86			
197.178		7653.15		1046.97			
197.459		7663.77		1047.09			
197.74		7674.55		1047.2			
198.02		7684.96		1047.3			
198.3		7695.4		1047.41			
198.578		7706.02		1047.52			
198.855		7716.68		1047.62			
199.133		7726.91		1047.73			
199.409		7737.36		1047.83			
199.684		7747.95		1047.93			
199.959		7758.28		1048.03			
200.233		7768.52		1048.13			
200.506		7778.92		1048.23			
200.778		7789.41		1048.33			
201.05		7799.42		1048.43			
201.321		7809.62		1048.52			
201.591		7819.95		1048.62			
201.86		7830.06		1048.71			
202.129		7840.06		1048.8			
202.397		7850.22		1048.89			
202.664		7860.47		1048.98			
202.931		7870.3		1049.07			
203.197		7880.3		1049.16			
203.461		7890.42		1049.25			
203.725		7900.36		1049.34			
203.989		7910.2		1049.42			
204.252		7920.19		1049.5			
204.513		7930.24		1049.59			
204.775		7939.92		1049.67			
205.034		7949.49		1049.75			
205.294		7959.22		1049.83			
205.553		7968.81		1049.91			
205.812		7978.43		1049.98			
206.07		7988.23		1050.06			
206.326		7998.09		1050.14			
206.58		8007.58		1050.21			
206.836		8017.11		1050.29			
207.091		8026.84		1050.36			
207.343		8036.16		1050.43			
207.597		8045.56		1050.5			
207.85		8055.18		1050.57			
208.099		8064.59		1050.64			
208.351		8073.89		1050.7			
208.599		8083.36		1050.77			
208.849		8092.76		1050.83			
209.099		8102.06		1050.9			
209.346		8111.26		1050.96			
209.591		8120.63		1051.02			
209.839		8129.77		1051.09			
210.083		8139.02		1051.15			
210.329		8148.2		1051.2			
210.572		8157.37		1051.26			
210.817		8166.46		1051.32			
211.058		8175.51		1051.38			
211.299		8184.64		1051.43			
211.542		8193.67		1051.49			
211.782		8202.63		1051.54			
212.02		8211.66		1051.59			
212.259		8220.62		1051.65			
212.496		8229.55		1051.7			
212.736		8238.45		1051.75			
212.972		8247.37		1051.8			
213.208		8256.16		1051.84			
213.443		8265.0		1051.9			
213.677		8273.87		1051.94			
213.911		8282.64		1051.99			
214.144		8291.37		1052.03			
214.376		8300.12		1052.08			
214.608		8308.82		1052.12			
214.839		8317.46		1052.16			
215.07		8326.13		1052.2			
215.3		8334.79		1052.24			
215.529		8343.33		1052.28			
215.758		8351.87		1052.32			
215.986		8360.47		1052.36			
216.213		8368.91		1052.4			
216.44		8377.42		1052.43			
216.666		8385.87		1052.47			
216.892		8394.24		1052.5			
217.113		8402.57		1052.54			
217.337		8410.86		1052.57			
217.56		8419.1		1052.6			
217.783		8427.32		1052.63			
218.001		8435.56		1052.66			
218.222		8443.68		1052.68			
218.441		8451.79		1052.71			
218.657		8459.94		1052.73			
218.876		8467.97		1052.76			
219.093		8476.02		1052.78			
219.307		8484.02		1052.8			
219.523		8491.97		1052.83			
219.735		8499.96		1052.84			
219.949		8507.81		1052.86			
220.16		8515.72		1052.88			
220.373		8523.55		1052.9			
220.582		8531.4		1052.91			
220.793		8539.15		1052.93			
221.0		8546.94		1052.94			
221.21		8554.65		1052.95			
221.416		8562.33		1052.96			
221.621		8570.01		1052.97			
221.829		8577.64		1052.99			
222.033		8585.24		1052.99			
222.236		8592.82		1053.0			
222.441		8600.38		1053.01			
222.643		8607.89		1053.02			
222.844		8615.37		1053.02			
223.044		8622.87		1053.03			
223.246		8630.29		1053.04			
223.445		8637.67		1053.04			
223.643		8645.04		1053.04			
223.84		8652.44		1053.05			
224.037		8659.73		1053.05			
224.236		8667.0		1053.05			
224.431		8674.32		1053.05			
224.625		8681.51		1053.05			
224.819		8688.71		1053.05			
225.012		8695.92		1053.05			
225.204		8703.04		1053.05			
225.396		8710.15		1053.05			
225.587		8717.3		1053.04			
225.777		8724.36		1053.04			
225.967		8731.33		1053.03			
226.156		8738.4		1053.03			
226.344		8745.4		1053.02			
226.532		8752.32		1053.02			
226.719		8759.32		1053.01			
226.902		8766.26		1053.0			
227.088		8773.07		1053.0			
