Speed		Angle		Steer		Radius
61.664		-0.0050		-0.033		102.371
62.658		-0.0050		-0.033		102.394
63.651		-0.0050		-0.033		102.415
64.643		-0.0050		-0.033		102.437
65.636		-0.0050		-0.033		102.46
66.629		-0.0040		-0.033		102.483
67.621		-0.0040		-0.033		102.506
68.613		-0.0040		-0.033		102.53
69.606		-0.0040		-0.033		102.554
70.598		-0.0040		-0.033		102.578
71.59		-0.0030		-0.033		102.602
72.581		-0.0030		-0.033		102.627
73.572		-0.0030		-0.033		102.669
74.562		-0.0030		-0.033		102.678
75.553		-0.0030		-0.033		102.701
76.543		-0.0020		-0.033		102.73
77.533		-0.0020		-0.033		102.755
78.523		-0.0020		-0.033		102.783
79.512		-0.0020		-0.034		102.809
229.91		0.069		-0.028		110.365
230.297		0.069		-0.027		110.332
230.297		0.069		-0.027		110.332
230.297		0.069		-0.027		110.332
230.297		0.069		-0.027		110.332
230.297		0.069		-0.027		110.332
230.297		0.069		-0.027		110.332
230.297		0.069		-0.027		110.332
195.194		0.077		-0.05		541.443
195.194		0.077		-0.05		541.443
195.194		0.077		-0.05		541.443
195.194		0.077		-0.05		541.443
110.35		0.104		-1.0		1016.808
110.35		0.104		-1.0		1016.808
110.427		0.139		-1.0		525.395
110.332		-0.094		-1.0		47.577
110.263		0.019		-1.0		46.89
110.338		-0.0070		-1.0		51.064
110.341		0.019		-1.0		52.907
110.332		-0.31		-1.0		286.251
110.332		-0.31		-1.0		46.787
145.167		-0.156		-0.5		217.009
145.167		-0.156		-0.5		217.009
145.167		-0.156		-0.5		1030.884
145.167		-0.156		-0.5		0.0
145.167		-0.156		-0.5		0.0
145.167		-0.156		-0.5		217.009
145.167		-0.156		-0.5		1030.884
145.16		-0.012		-0.5		62.91
145.162		-0.068		-0.5		62.912
145.159		-0.493		-0.5		62.905
110.332		-0.232		-1.0		175.569
114.429		-0.089		-0.909		48.314
116.904		-0.288		-0.82		48.798
129.699		-0.137		-0.73		56.076
135.686		-0.107		-0.64		58.756
141.734		-0.081		-0.55		61.412
147.951		-0.056		-0.46		64.126
154.447		-0.031		-0.37		66.967
160.609		-0.0050		-0.28		69.649
167.426		0.051		-0.19		72.835
0.0		0.0		0.0		0.0
0.0		0.0		0.0		0.0
94.239		-0.336		-1.0		34.008
94.239		-0.336		-1.0		34.008
0.0		0.0		0.0		0.0
0.0		0.0		0.0		0.0		738.649
0.0		0.0		0.0		0.0		727.89
