Old State	Action		New State
2094.4		0.774		2410.2
2094.4		0.773		2409.73
2094.4		0.772		2409.26
2094.4		0.771		2408.79
2094.4		0.77		2408.32
2094.4		0.769		2407.85
2094.4		0.768		2407.38
2094.4		0.767		2406.9
2094.4		0.766		2406.43
2094.4		0.765		2405.96
2094.4		0.764		2405.4899
2094.4		0.763		2405.02
2094.4		0.762		2404.55
2094.4		0.761		2404.08
2094.4		0.76		2403.61
2094.4		0.759		2403.14
2094.4		0.758		2402.67
2094.4		0.757		2402.2
2094.4		0.756		2401.73
2094.4		0.755		2401.26
2094.4		0.754		2400.79
2094.4		0.753		2400.32
2094.4		0.752		2399.85
2094.4		0.751		2399.38
2094.4		0.75		2398.91
2094.4		0.749		2398.44
2094.4		0.748		2397.9699
2094.4		0.747		2397.5
2094.4		0.746		2397.03
2094.4		0.745		2396.56
2094.4		0.744		2396.09
2094.4		0.743		2395.62
2094.4		0.742		2395.15
2094.4		0.741		2394.68
2094.4		0.74		2394.21
2094.4		0.739		2393.7399
2094.4		0.738		2393.27
2094.4		0.737		2392.8
2094.4		0.736		2392.33
2094.4		0.735		2391.86
2094.4		0.734		2391.39
2094.4		0.733		2390.92
2094.4		0.732		2390.45
2094.4		0.731		2389.98
2094.4		0.73		2389.51
2094.4		0.729		2389.04
2094.4		0.728		2388.57
2094.4		0.727		2388.1
2094.4		0.726		2387.63
2094.4		0.725		2387.16
2094.4		0.724		2386.69
2094.4		0.723		2386.2199
2094.4		0.722		2385.75
2094.4		0.721		2385.28
2094.4		0.72		2384.82
2094.4		0.719		2384.35
2094.4		0.718		2383.88
2094.4		0.717		2383.41
2094.4		0.716		2382.94
2094.4		0.715		2382.4699
2094.4		0.714		2382.0
2094.4		0.713		2381.53
2094.4		0.712		2381.06
2094.4		0.711		2380.59
2094.4		0.71		2380.12
2094.4		0.709		2379.66
2094.4		0.708		2379.19
2094.4		0.707		2378.7199
2094.4		0.706		2378.25
2094.4		0.705		2377.78
2094.4		0.704		2377.31
2094.4		0.703		2376.84
2094.4		0.702		2376.37
2094.4		0.701		2375.9
2094.4		0.7		2375.44
2094.4		0.699		2374.9699
2094.4		0.698		2374.5
2094.4		0.697		2374.03
2094.4		0.696		2373.56
2094.4		0.695		2373.09
2094.4		0.694		2372.62
2094.4		0.693		2372.16
2094.4		0.692		2371.69
2094.4		0.691		2371.2199
2094.4		0.69		2370.75
2094.4		0.689		2370.28
2094.4		0.688		2369.81
2094.4		0.687		2369.35
2094.4		0.686		2368.88
2094.4		0.685		2368.41
2094.4		0.684		2367.94
2094.4		0.683		2367.4699
2094.4		0.682		2367.01
2094.4		0.681		2366.54
2094.4		0.68		2366.07
2094.4		0.679		2365.6
2094.4		0.678		2365.13
2094.4		0.677		2364.67
2094.4		0.676		2364.2
2094.4		0.675		2363.73
2094.4		0.674		2363.26
2094.4		0.673		2362.79
2094.4		0.672		2362.33
2094.4		0.671		2361.86
2094.4		0.67		2361.39
2094.4		0.669		2360.92
2094.4		0.668		2360.46
2094.4		0.667		2359.9899
2094.4		0.666		2359.52
2094.4		0.665		2359.05
2094.4		0.664		2358.58
2094.4		0.663		2358.12
2094.4		0.662		2357.65
2094.4		0.661		2357.18
2094.4		0.66		2356.7199
2094.4		0.659		2356.25
2094.4		0.658		2355.78
2094.4		0.657		2355.31
2094.4		0.656		2354.85
2094.4		0.655		2354.38
2094.4		0.654		2353.91
2094.4		0.653		2353.44
2094.4		0.652		2352.98
