"Steer","Gear","RPM","Speed","Distance","Min RPM","Max speed","Radius"
-0.812,2.000,8800.000,114.154,1915.506,5040.020,123.987,53.413
-0.812,3.000,8000.000,109.960,1915.506,3602.300,123.987,53.413
-0.812,4.000,7000.000,114.110,1915.506,3425.510,123.987,53.413
-0.811,1.000,7800.000,58.386,1830.699,2094.400,117.115,48.821
-0.811,2.000,8800.000,114.149,1916.551,5040.700,124.056,53.445
-0.811,3.000,8000.000,109.959,1916.551,3604.370,124.056,53.445
-0.811,4.000,7000.000,114.105,1916.551,3439.810,124.056,53.445
-0.810,1.000,7800.000,58.411,1831.128,2094.400,117.140,48.830
-0.810,2.000,8800.000,114.197,1917.598,5045.340,124.124,53.476
-0.810,3.000,8000.000,110.010,1917.598,3605.500,124.124,53.476
-0.810,4.000,7000.000,114.153,1917.598,3454.310,124.124,53.476
-0.809,1.000,7800.000,58.424,1831.546,2094.400,117.163,48.830
-0.809,2.000,8800.000,114.190,1918.645,5047.060,124.193,53.509
-0.809,3.000,8000.000,110.007,1918.645,3609.700,124.193,53.509
-0.809,4.000,7000.000,114.147,1918.645,3468.700,124.193,53.509
-0.808,1.000,7800.000,58.436,1831.894,2094.400,117.187,48.834
-0.808,2.000,8800.000,114.228,1919.624,5053.190,124.262,53.540
-0.808,3.000,8000.000,110.048,1919.624,3575.910,124.262,53.540
-0.808,4.000,7000.000,114.185,1919.624,3483.240,124.262,53.540
-0.807,1.000,7800.000,58.452,1832.371,2094.400,117.208,48.833
-0.807,2.000,8800.000,114.234,1920.752,5044.140,124.330,53.572
-0.807,3.000,8000.000,110.057,1920.752,3622.140,124.330,53.572
-0.807,4.000,7000.000,114.191,1920.752,3497.690,124.330,53.572
-0.806,1.000,7800.000,58.474,1832.803,2094.400,117.235,48.839
-0.806,2.000,8800.000,114.227,1921.803,5039.860,124.399,53.605
-0.806,3.000,8000.000,110.055,1921.803,3625.180,124.399,53.605
-0.806,4.000,7000.000,114.185,1921.803,3512.220,124.399,53.605
-0.805,1.000,7800.000,58.484,1833.164,2094.400,117.258,48.841
-0.805,2.000,8800.000,114.265,1922.785,5040.960,124.468,53.636
-0.805,3.000,8000.000,110.096,1922.785,3581.270,124.468,53.636
-0.805,4.000,7000.000,114.223,1922.785,3526.870,124.468,53.636
-0.804,1.000,7800.000,58.511,1833.557,2094.400,117.281,48.844
-0.804,2.000,8800.000,114.254,1923.799,5048.170,124.537,53.668
-0.804,3.000,8000.000,110.086,1923.799,3583.460,124.537,53.668
-0.804,4.000,7000.000,114.213,1923.799,3541.410,124.537,53.668
-0.803,1.000,7800.000,58.520,1833.981,2094.400,117.304,48.846
-0.803,2.000,8800.000,114.249,1924.869,5042.440,124.605,53.700
-0.803,3.000,8000.000,110.085,1924.869,3586.840,124.605,53.700
-0.803,4.000,7000.000,114.208,1924.869,3556.000,124.605,53.700
-0.802,1.000,7800.000,58.541,1834.395,2094.400,117.332,48.852
-0.802,2.000,8800.000,114.297,1925.918,5052.910,124.674,53.732
-0.802,3.000,8000.000,110.136,1925.918,3589.290,124.674,53.732
-0.802,4.000,7000.000,114.257,1925.918,3570.810,124.674,53.732
-0.801,1.000,7800.000,58.546,1834.808,2094.400,117.353,48.852
-0.801,2.000,8800.000,114.287,1926.962,5054.230,124.743,53.763
-0.801,3.000,8000.000,110.130,1926.962,3606.070,124.743,53.763
-0.801,4.000,7000.000,114.247,1926.962,3585.450,124.743,53.763
-0.800,1.000,7800.000,58.572,1835.207,2094.400,117.374,48.850
-0.800,2.000,8800.000,114.333,1928.002,5049.970,124.812,53.795
-0.800,3.000,8000.000,110.179,1928.002,3595.400,124.812,53.795
-0.800,4.000,7000.000,114.293,1928.002,3600.300,124.812,53.795
-0.799,1.000,7800.000,58.589,1835.618,2094.400,117.399,48.852
-0.799,2.000,8800.000,114.325,1929.058,5049.510,124.881,53.827
-0.799,3.000,8000.000,110.175,1929.058,3597.310,124.881,53.827
-0.799,4.000,7000.000,114.285,1929.058,3615.030,124.881,53.827
-0.798,1.000,7800.000,58.597,1836.033,2094.400,117.421,48.841
-0.798,2.000,8800.000,114.317,1930.119,5050.700,124.949,53.859
-0.798,3.000,8000.000,110.171,1930.119,3602.390,124.949,53.859
-0.798,4.000,7000.000,114.278,1930.119,3629.810,124.949,53.859
-0.797,1.000,7800.000,58.619,1836.421,2094.400,117.450,48.893
-0.797,2.000,8800.000,114.362,1931.147,5053.080,125.018,53.891
-0.797,3.000,8000.000,110.219,1931.147,3599.010,125.018,53.891
-0.797,4.000,7000.000,114.323,1931.147,3644.740,125.018,53.891
-0.796,1.000,7800.000,58.626,1836.858,2094.400,117.469,48.883
-0.796,2.000,8800.000,114.354,1932.212,5056.600,125.087,53.923
-0.796,3.000,8000.000,110.216,1932.212,3606.710,125.087,53.923
-0.796,4.000,7000.000,114.316,1932.212,3659.580,125.087,53.923
-0.795,1.000,7800.000,58.652,1837.250,2094.400,117.492,48.877
-0.795,2.000,8800.000,114.399,1933.243,5053.190,125.156,53.954
-0.795,3.000,8000.000,110.263,1933.243,3600.330,125.156,53.954
-0.795,4.000,7000.000,114.361,1933.243,3674.550,125.156,53.954
-0.794,1.000,7800.000,58.665,1837.650,2094.400,117.515,48.880
-0.794,2.000,8800.000,114.389,1934.296,5056.570,125.225,53.986
-0.794,3.000,8000.000,110.257,1934.296,3603.060,125.225,53.986
-0.794,4.000,7000.000,114.351,1934.296,3689.420,125.225,53.986
-0.793,1.000,7800.000,58.671,1838.075,2094.400,117.538,48.882
-0.793,2.000,8800.000,114.381,1935.374,5052.280,125.294,54.018
-0.793,3.000,8000.000,110.254,1935.374,3605.330,125.294,54.018
-0.793,4.000,7000.000,114.344,1935.374,3704.250,125.294,54.018
-0.792,1.000,7800.000,58.690,1838.428,2094.400,117.557,48.881
-0.792,2.000,8800.000,114.422,1936.383,5052.440,125.362,54.050
-0.792,3.000,8000.000,110.297,1936.383,3607.050,125.362,54.050
-0.792,4.000,7000.000,114.385,1936.383,3719.170,125.362,54.050
-0.791,1.000,7800.000,58.703,1838.847,2094.400,117.585,48.887
-0.791,2.000,8800.000,114.409,1937.439,5052.220,125.431,54.082
-0.791,3.000,8000.000,110.289,1937.439,3609.340,125.431,54.082
-0.791,4.000,7000.000,114.373,1937.439,3733.950,125.431,54.082
-0.790,1.000,7800.000,58.724,1839.209,2094.400,117.607,48.889
-0.790,2.000,8800.000,114.446,1938.423,5055.970,125.500,54.113
-0.790,3.000,8000.000,110.329,1938.423,3620.900,125.500,54.113
-0.790,4.000,7000.000,114.410,1938.423,3748.900,125.500,54.113
-0.789,1.000,7800.000,58.738,1839.593,2094.400,117.629,48.891
-0.789,2.000,8800.000,114.432,1939.478,5088.660,125.569,54.145
-0.789,3.000,8000.000,110.320,1939.478,3619.250,125.569,54.145
-0.789,4.000,7000.000,114.397,1939.478,3763.690,125.569,54.145
-0.788,1.000,7800.000,58.752,1839.988,2094.400,117.653,48.894
-0.788,2.000,8800.000,114.479,1940.516,5093.840,125.638,54.175
-0.788,3.000,8000.000,110.369,1940.516,3611.240,125.638,54.175
-0.788,4.000,7000.000,114.443,1940.516,3778.690,125.638,54.175
-0.787,1.000,7800.000,58.774,1840.387,2094.400,117.675,48.895
-0.787,2.000,8800.000,114.464,1941.572,5083.270,125.707,54.208
-0.787,3.000,8000.000,110.359,1941.572,3616.070,125.707,54.208
-0.787,4.000,7000.000,114.429,1941.572,3793.520,125.707,54.208
-0.786,1.000,7800.000,58.780,1840.777,2094.400,117.694,48.895
-0.786,2.000,8800.000,114.515,1942.635,5091.300,125.776,54.237
-0.786,3.000,8000.000,110.412,1942.635,3620.870,125.776,54.237
-0.786,4.000,7000.000,114.480,1942.635,3808.510,125.776,54.237
-0.785,1.000,7800.000,58.805,1841.187,2094.400,117.723,48.901
-0.785,2.000,8800.000,114.498,1943.677,5092.370,125.845,54.269
-0.785,3.000,8000.000,110.400,1943.677,3622.690,125.845,54.269
-0.785,4.000,7000.000,114.463,1943.677,3823.360,125.845,54.269
-0.784,1.000,7800.000,58.824,1841.596,2094.400,117.745,48.902
-0.784,2.000,8800.000,114.544,1944.722,5090.330,125.914,54.299
-0.784,3.000,8000.000,110.449,1944.722,3623.710,125.914,54.299
-0.784,4.000,7000.000,114.510,1944.722,3838.340,125.914,54.299
-0.783,1.000,7800.000,58.833,1841.973,2094.400,117.767,48.897
-0.783,2.000,8800.000,114.528,1945.766,5091.170,125.983,54.330
-0.783,3.000,8000.000,110.437,1945.766,3628.860,125.983,54.330
-0.783,4.000,7000.000,114.494,1945.766,3853.190,125.983,54.330
-0.782,1.000,7800.000,58.842,1842.364,2094.400,117.790,48.882
-0.782,2.000,8800.000,114.576,1946.809,5093.100,126.052,54.354
-0.782,3.000,8000.000,110.488,1946.809,3629.370,126.052,54.354
-0.782,4.000,7000.000,114.542,1946.809,3868.180,126.052,54.354
-0.781,1.000,7800.000,58.859,1842.774,2094.400,117.812,48.946
-0.781,2.000,8800.000,114.562,1947.882,5093.960,126.121,54.374
-0.781,3.000,8000.000,110.478,1947.882,3624.500,126.121,54.374
-0.781,4.000,7000.000,114.529,1947.882,3883.040,126.121,54.374
-0.780,1.000,7800.000,58.872,1843.147,2094.400,117.833,48.926
-0.780,2.000,8800.000,114.608,1948.915,5093.010,126.190,55.153
-0.780,3.000,8000.000,110.526,1948.915,3628.060,126.190,55.153
-0.780,4.000,7000.000,114.574,1948.915,3898.050,126.190,55.153
-0.779,1.000,7800.000,58.893,1843.507,2094.400,117.854,48.918
-0.779,2.000,8800.000,114.587,1949.955,5095.870,126.259,54.532
-0.779,3.000,8000.000,110.511,1949.955,3629.510,126.259,54.532
-0.779,4.000,7000.000,114.555,1949.955,3912.880,126.259,54.532
-0.778,1.000,7800.000,58.903,1843.931,2094.400,117.880,48.929
-0.778,2.000,8800.000,114.570,1951.010,5096.760,126.328,54.526
-0.778,3.000,8000.000,110.499,1951.010,3632.390,126.328,54.526
-0.778,4.000,7000.000,114.538,1951.010,3927.730,126.328,54.526
-0.777,1.000,7800.000,58.922,1844.336,2094.400,117.902,48.928
-0.777,2.000,8800.000,114.618,1952.061,5099.860,126.397,54.548
-0.777,3.000,8000.000,110.549,1952.061,3634.580,126.397,54.548
-0.777,4.000,7000.000,114.586,1952.061,3942.710,126.397,54.548
-0.776,1.000,7800.000,58.942,1844.702,2094.400,117.924,48.929
-0.776,2.000,8800.000,114.596,1953.100,5094.670,126.466,54.575
-0.776,3.000,8000.000,110.532,1953.100,3636.030,126.466,54.575
-0.776,4.000,7000.000,114.565,1953.100,3957.530,126.466,54.575
-0.775,1.000,7800.000,58.938,1845.052,2094.400,117.947,48.932
-0.775,2.000,8800.000,114.637,1954.112,5090.830,126.535,54.608
-0.775,3.000,8000.000,110.576,1954.112,3640.060,126.535,54.608
-0.775,4.000,7000.000,114.606,1954.112,3972.500,126.535,54.608
-0.774,1.000,7800.000,58.960,1845.433,2094.400,117.967,48.932
-0.774,2.000,8800.000,114.683,1955.159,5093.830,126.604,54.637
-0.774,3.000,8000.000,110.624,1955.159,3641.780,126.604,54.637
-0.774,4.000,7000.000,114.652,1955.159,3987.440,126.604,54.637
-0.773,1.000,7800.000,58.974,1845.826,2094.400,117.990,48.935
-0.773,2.000,8800.000,114.665,1956.217,5095.570,126.673,54.666
-0.773,3.000,8000.000,110.611,1956.217,3647.020,126.673,54.666
-0.773,4.000,7000.000,114.635,1956.217,4002.260,126.673,54.666
-0.772,1.000,7800.000,58.993,1846.196,2094.400,118.010,48.936
-0.772,2.000,8800.000,114.711,1957.252,5092.560,126.742,54.699
