OldState	Action		NewState
6573.21		0.18		6580.13
6573.21		0.17		6573.97
6573.21		0.16		6567.81
6573.21		0.15		6561.65
6573.21		0.14		6555.4799
6573.21		0.13		6549.31
6573.21		0.12		6543.14
6573.21		0.11		6536.97
6573.21		0.1		6530.79
6573.21		0.09		6524.62
6573.21		0.08		6518.4399
6573.21		0.07		6512.26
6573.21		0.06		6506.07
6573.21		0.05		6499.89
6573.21		0.04		6493.7
6573.21		0.03		6487.51
6573.21		0.02		6481.32
6573.21		0.01		6475.13
6573.21		0.0		6468.93
7078.26		1.0		7557.61
7078.26		0.99		7551.82
7078.26		0.98		7546.04
7078.26		0.97		7540.25
7078.26		0.96		7534.45
7078.26		0.95		7528.66
7078.26		0.94		7522.86
7078.26		0.93		7517.06
7078.26		0.92		7511.26
7078.26		0.91		7505.45
7078.26		0.9		7499.64
7078.26		0.89		7493.83
7078.26		0.88		7488.02
7078.26		0.87		7482.2
7078.26		0.86		7476.38
7078.26		0.85		7470.56
7078.26		0.84		7464.73
7078.26		0.83		7458.91
7078.26		0.82		7453.08
7078.26		0.81		7447.24
7078.26		0.8		7441.41
7078.26		0.79		7435.57
7078.26		0.78		7429.73
7078.26		0.77		7423.89
7078.26		0.76		7418.04
7078.26		0.75		7412.19
7078.26		0.74		7406.34
7078.26		0.73		7400.49
7078.26		0.72		7394.63
7078.26		0.71		7388.77
7078.26		0.7		7382.91
7078.26		0.69		7377.04
7078.26		0.68		7371.17
7078.26		0.67		7365.3
7078.26		0.66		7359.43
7078.26		0.65		7353.55
7078.26		0.64		7347.67
7078.26		0.63		7341.79
7078.26		0.62		7335.91
7078.26		0.61		7330.02
7078.26		0.6		7324.13
7078.26		0.59		7318.24
7078.26		0.58		7312.35
7078.26		0.57		7306.45
7078.26		0.56		7300.56
7078.26		0.55		7294.66
7078.26		0.54		7288.76
7078.26		0.53		7282.86
7078.26		0.52		7276.95
7078.26		0.51		7271.05
7078.26		0.5		7265.14
7078.26		0.49		7259.23
7078.26		0.48		7253.32
7078.26		0.47		7247.4
7078.26		0.46		7241.49
7078.26		0.45		7235.57
7078.26		0.44		7229.65
7078.26		0.43		7223.73
7078.26		0.42		7217.8
7078.26		0.41		7211.88
7078.26		0.4		7205.95
7078.26		0.39		7200.02
7078.26		0.38		7194.09
7078.26		0.37		7188.15
7078.26		0.36		7182.22
7078.26		0.35		7176.28
7078.26		0.34		7170.34
7078.26		0.33		7164.4
7078.26		0.32		7158.45
7078.26		0.31		7152.5
7078.26		0.3		7146.56
7078.26		0.29		7140.61
7078.26		0.28		7134.65
7078.26		0.27		7128.7
7078.26		0.26		7122.74
7078.26		0.25		7116.79
7078.26		0.24		7110.83
7078.26		0.23		7104.86
7078.26		0.22		7098.9
7078.26		0.21		7092.93
7078.26		0.2		7086.97
7078.26		0.19		7081.0
7078.26		0.18		7075.02
7078.26		0.17		7069.05
7078.26		0.16		7063.07
7078.26		0.15		7057.09
7078.26		0.14		7051.11
7078.26		0.13		7045.13
7078.26		0.12		7039.15
7078.26		0.11		7033.16
7078.26		0.1		7027.17
7078.26		0.09		7021.18
7078.26		0.08		7015.19
7078.26		0.07		7009.2
7078.26		0.06		7003.2
7078.26		0.05		6997.2
7078.26		0.04		6991.2
7078.26		0.03		6985.2
7078.26		0.02		6979.19
7078.26		0.01		6973.19
7078.26		0.0		6967.18
7557.61		1.0		8008.6
7557.61		0.99		8003.04
7557.61		0.98		7997.48
7557.61		0.97		7991.91
7557.61		0.96		7986.34
7557.61		0.95		7980.77
7557.61		0.94		7975.19
7557.61		0.93		7969.62
7557.61		0.92		7964.04
7557.61		0.91		7958.46
7557.61		0.9		7952.88
7557.61		0.89		7947.29
7557.61		0.88		7941.7
7557.61		0.87		7936.11
7557.61		0.86		7930.51
7557.61		0.85		7924.92
7557.61		0.84		7919.32
7557.61		0.83		7913.72
7557.61		0.82		7908.11
7557.61		0.81		7902.51
7557.61		0.8		7896.9
7557.61		0.79		7891.29
7557.61		0.78		7885.67
7557.61		0.77		7880.06
7557.61		0.76		7874.44
7557.61		0.75		7868.82
7557.61		0.74		7863.19
7557.61		0.73		7857.57
7557.61		0.72		7851.94
7557.61		0.71		7846.31
7557.61		0.7		7840.68
7557.61		0.69		7835.04
7557.61		0.68		7829.4
7557.61		0.67		7823.76
7557.61		0.66		7818.11
7557.61		0.65		7812.47
7557.61		0.64		7806.82
7557.61		0.63		7801.17
7557.61		0.62		7795.52
7557.61		0.61		7789.86
7557.61		0.6		7784.2
7557.61		0.59		7778.54
7557.61		0.58		7772.88
7557.61		0.57		7767.21
7557.61		0.56		7761.54
7557.61		0.55		7755.87
7557.61		0.54		7750.2
7557.61		0.53		7744.52
7557.61		0.52		7738.84
7557.61		0.51		7733.16
7557.61		0.5		7727.48
7557.61		0.49		7721.79
7557.61		0.48		7716.1
7557.61		0.47		7710.41
7557.61		0.46		7704.72
7557.61		0.45		7699.02
7557.61		0.44		7693.32
7557.61		0.43		7687.62
7557.61		0.42		7681.92
7557.61		0.41		7676.21
7557.61		0.4		7670.5
7557.61		0.39		7664.79
7557.61		0.38		7659.08
7557.61		0.37		7653.36
7557.61		0.36		7647.64
7557.61		0.35		7641.92
7557.61		0.34		7636.2
7557.61		0.33		7630.47
7557.61		0.32		7624.74
7557.61		0.31		7619.01
7557.61		0.3		7613.28
7557.61		0.29		7607.54
7557.61		0.28		7601.8
7557.61		0.27		7596.06
7557.61		0.26		7590.31
7557.61		0.25		7584.57
7557.61		0.24		7578.82
7557.61		0.23		7573.07
7557.61		0.22		7567.31
7557.61		0.21		7561.55
7557.61		0.2		7555.79
7557.61		0.19		7550.03
7557.61		0.18		7544.27
7557.61		0.17		7538.5
7557.61		0.16		7532.73
7557.61		0.15		7526.96
7557.61		0.14		7521.18
7557.61		0.13		7515.41
7557.61		0.12		7509.63
7557.61		0.11		7503.84
7557.61		0.1		7498.06
7557.61		0.09		7492.27
7557.61		0.08		7486.48
7557.61		0.07		7480.69
7557.61		0.06		7474.89
7557.61		0.05		7469.1
7557.61		0.04		7463.3
7557.61		0.03		7457.49
7557.61		0.02		7451.69
7557.61		0.01		7445.88
7557.61		0.0		7440.07
8008.6		1.0		8432.05
8008.6		0.99		8426.7099
8008.6		0.98		8421.3799
8008.6		0.97		8416.03
8008.6		0.96		8410.67
8008.6		0.95		8405.31
8008.6		0.94		8399.95
8008.6		0.93		8394.58
8008.6		0.92		8389.2099
8008.6		0.91		8383.84
8008.6		0.9		8378.47
8008.6		0.89		8373.09
8008.6		0.88		8367.7099
8008.6		0.87		8362.33
8008.6		0.86		8356.95
8008.6		0.85		8351.56
8008.6		0.84		8346.17
8008.6		0.83		8340.79
8008.6		0.82		8335.39
8008.6		0.81		8330.0
8008.6		0.8		8324.6
8008.6		0.79		8319.2
8008.6		0.78		8313.8
8008.6		0.77		8308.39
8008.6		0.76		8302.99
8008.6		0.75		8297.58
8008.6		0.74		8292.16
8008.6		0.73		8286.75
8008.6		0.72		8281.33
8008.6		0.71		8275.91
8008.6		0.7		8270.49
8008.6		0.69		8265.07
8008.6		0.68		8259.64
8008.6		0.67		8254.2099
8008.6		0.66		8248.78
8008.6		0.65		8243.35
8008.6		0.64		8237.92
8008.6		0.63		8232.48
8008.6		0.62		8227.04
8008.6		0.61		8221.59
8008.6		0.6		8216.15
8008.6		0.59		8210.7
8008.6		0.58		8205.25
8008.6		0.57		8199.8
8008.6		0.56		8194.34
8008.6		0.55		8188.89
8008.6		0.54		8183.43
8008.6		0.53		8177.96
8008.6		0.52		8172.5
8008.6		0.51		8167.03
8008.6		0.5		8161.56
8008.6		0.49		8156.09
8008.6		0.48		8150.62
8008.6		0.47		8145.14
8008.6		0.46		8139.66
8008.6		0.45		8134.18
8008.6		0.44		8128.69
8008.6		0.43		8123.21
8008.6		0.42		8117.72
8008.6		0.41		8112.23
8008.6		0.4		8106.73
8008.6		0.39		8101.24
8008.6		0.38		8095.74
8008.6		0.37		8090.24
8008.6		0.36		8084.74
8008.6		0.35		8079.23
8008.6		0.34		8073.72
8008.6		0.33		8068.21
8008.6		0.32		8062.7
8008.6		0.31		8057.18
8008.6		0.3		8051.66
8008.6		0.29		8046.14
8008.6		0.28		8040.62
8008.6		0.27		8035.09
8008.6		0.26		8029.56
8008.6		0.25		8024.04
8008.6		0.24		8018.5
8008.6		0.23		8012.97
8008.6		0.22		8007.43
8008.6		0.21		8001.89
8008.6		0.2		7996.35
8008.6		0.19		7990.8
8008.6		0.18		7985.25
8008.6		0.17		7979.71
8008.6		0.16		7974.15
8008.6		0.15		7968.6
8008.6		0.14		7963.04
8008.6		0.13		7957.48
8008.6		0.12		7951.92
8008.6		0.11		7946.35
8008.6		0.1		7940.79
8008.6		0.09		7935.22
8008.6		0.08		7929.65
8008.6		0.07		7924.07
8008.6		0.06		7918.49
8008.6		0.05		7912.92
8008.6		0.04		7907.33
8008.6		0.03		7901.75
8008.6		0.02		7896.16
8008.6		0.01		7890.57
8008.6		0.0		7884.98
8432.05		1.0		8822.2
8822.2		1.0		8936.33
8822.2		0.99		8933.89
8822.2		0.98		8931.44
8822.2		0.97		8928.82
8822.2		0.96		8926.37
8822.2		0.95		8923.92
8822.2		0.94		8921.47
8822.2		0.93		8918.85
8822.2		0.92		8916.4
8822.2		0.91		8913.95
8822.2		0.9		8911.5
8822.2		0.89		8909.05
8822.2		0.88		8906.44
8822.2		0.87		8903.99
8822.2		0.86		8901.3799
8822.2		0.85		8898.93
8822.2		0.84		8896.48
8822.2		0.83		8894.03
8822.2		0.82		8891.58
8822.2		0.81		8889.12
8822.2		0.8		8926.58
8822.2		0.79		8923.36
8822.2		0.78		8920.42
8822.2		0.77		8917.49
8822.2		0.76		8914.55
8822.2		0.75		8911.61
8822.2		0.74		8908.53
8822.2		0.73		8905.4599
8822.2		0.72		8902.52
8822.2		0.71		8899.58
8822.2		0.7		8896.64
8822.2		0.69		8893.57
8822.2		0.68		8890.62
8822.2		0.67		8887.68
8822.2		0.66		8917.56
8822.2		0.65		8914.1299
8822.2		0.64		8910.7
8822.2		0.63		8907.15
8822.2		0.62		8903.61
8822.2		0.61		8900.18
8822.2		0.6		8896.75
8822.2		0.59		8893.31
8822.2		0.58		8889.77
8822.2		0.57		8914.67
8822.2		0.56		8910.75
8822.2		0.55		8906.83
8822.2		0.54		8902.9
8822.2		0.53		8898.79
8822.2		0.52		8894.86
8822.2		0.51		8890.94
8822.2		0.5		8911.95
8822.2		0.49		8907.45
8822.2		0.48		8903.03
8822.2		0.47		8898.61
8822.2		0.46		8894.11
8822.2		0.45		8889.68
8822.2		0.44		8907.2099
8822.2		0.43		8902.3
8822.2		0.42		8897.39
8822.2		0.41		8892.47
8822.2		0.4		8887.54
8822.2		0.39		8882.62
8822.2		0.38		8877.69
8822.2		0.37		8872.75
8822.2		0.36		8867.81
8822.2		0.35		8862.87
8822.2		0.34		8857.93
8822.2		0.33		8852.98
8822.2		0.32		8848.03
8822.2		0.31		8843.07
8822.2		0.3		8838.11
8822.2		0.29		8833.15
8822.2		0.28		8828.18
8822.2		0.27		8823.2099
8822.2		0.26		8818.24
8822.2		0.25		8813.26
8822.2		0.24		8808.28
8822.2		0.23		8803.29
8822.2		0.22		8798.3
8822.2		0.21		8793.31
8822.2		0.2		8788.31
8822.2		0.19		8783.31
8822.2		0.18		8778.31
8822.2		0.17		8773.3
8822.2		0.16		8768.29
8822.2		0.15		8763.28
8822.2		0.14		8758.26
8822.2		0.13		8753.24
8822.2		0.12		8748.2099
8822.2		0.11		8743.18
8822.2		0.1		8738.15
8822.2		0.09		8733.11
8822.2		0.08		8728.07
8822.2		0.07		8723.03
8822.2		0.06		8717.98
8822.2		0.05		8712.93
8822.2		0.04		8707.87
8822.2		0.03		8702.81
8822.2		0.02		8697.75
8822.2		0.01		8692.68
8822.2		0.0		8687.61
8432.05		0.99		8817.19
8432.05		0.98		8812.18
8432.05		0.97		8807.16
8432.05		0.96		8802.14
8432.05		0.95		8797.12
8432.05		0.94		8792.1
8432.05		0.93		8787.07
8432.05		0.92		8782.04
8432.05		0.91		8777.0
8432.05		0.9		8771.9599
8432.05		0.89		8766.92
8432.05		0.88		8761.87
8432.05		0.87		8756.81
8432.05		0.86		8751.76
8432.05		0.85		8746.7
8432.05		0.84		8741.64
8432.05		0.83		8736.57
8432.05		0.82		8731.5
8432.05		0.81		8726.42
8432.05		0.8		8721.35
8432.05		0.79		8716.27
8432.05		0.78		8711.18
8432.05		0.77		8706.09
8432.05		0.76		8701.0
8432.05		0.75		8695.9
8432.05		0.74		8690.8
8432.05		0.73		8685.7
8432.05		0.72		8680.59
8432.05		0.71		8675.48
8432.05		0.7		8670.36
8432.05		0.69		8665.24
8432.05		0.68		8660.12
8432.05		0.67		8654.99
8432.05		0.66		8649.86
8432.05		0.65		8644.73
8432.05		0.64		8639.59
8432.05		0.63		8634.45
8432.05		0.62		8629.3
8432.05		0.61		8624.15
8432.05		0.6		8619.0
8432.05		0.59		8613.84
8432.05		0.58		8608.68
8432.05		0.57		8603.52
8432.05		0.56		8598.35
8432.05		0.55		8593.17
8432.05		0.54		8588.0
8432.05		0.53		8582.81
8432.05		0.52		8577.6299
8432.05		0.51		8572.44
8432.05		0.5		8567.25
8432.05		0.49		8562.06
8432.05		0.48		8556.86
8432.05		0.47		8551.65
8432.05		0.46		8546.45
8432.05		0.45		8541.23
8432.05		0.44		8536.02
8432.05		0.43		8530.8
8432.05		0.42		8525.58
8432.05		0.41		8520.35
8432.05		0.4		8515.12
8432.05		0.39		8509.89
8432.05		0.38		8504.65
8432.05		0.37		8499.41
8432.05		0.36		8494.16
8432.05		0.35		8488.91
8432.05		0.34		8483.66
8432.05		0.33		8478.4
8432.05		0.32		8473.14
8432.05		0.31		8467.8799
8432.05		0.3		8462.61
8432.05		0.29		8457.33
8432.05		0.28		8452.06
8432.05		0.27		8446.78
8432.05		0.26		8441.49
8432.05		0.25		8436.2099
8432.05		0.24		8430.91
8432.05		0.23		8425.62
8432.05		0.22		8420.32
8432.05		0.21		8415.01
8432.05		0.2		8409.7099
8432.05		0.19		8404.39
8432.05		0.18		8399.08
8432.05		0.17		8393.76
8432.05		0.16		8388.44
8432.05		0.15		8383.11
8432.05		0.14		8377.78
8432.05		0.13		8372.44
8432.05		0.12		8367.1
8432.05		0.11		8361.75
8432.05		0.1		8356.4
8432.05		0.09		8351.05
8432.05		0.08		8345.69
8432.05		0.07		8340.33
8432.05		0.06		8334.97
8432.05		0.05		8329.6
8432.05		0.04		8324.23
8432.05		0.03		8318.86
8432.05		0.02		8313.48
8432.05		0.01		8308.1
8432.05		0.0		8302.72
