OldState	Action		NewState
2961.88		0.76		3303.73
2961.88		0.75		3298.38
2961.88		0.74		3293.03
2961.88		0.73		3287.69
2961.88		0.72		3282.36
2961.88		0.71		3277.02
2961.88		0.7		3271.69
2961.88		0.69		3266.36
2961.88		0.68		3261.03
2961.88		0.67		3255.71
2961.88		0.66		3250.39
2961.88		0.65		3245.07
2961.88		0.64		3239.76
2961.88		0.63		3234.45
2961.88		0.62		3229.14
2961.88		0.61		3223.83
2961.88		0.6		3218.53
2961.88		0.59		3213.23
2961.88		0.58		3207.93
2961.88		0.57		3202.64
2961.88		0.56		3197.35
2961.88		0.55		3192.06
2961.88		0.54		3186.78
2961.88		0.53		3181.4899
2961.88		0.52		3176.21
2961.88		0.51		3170.94
2961.88		0.5		3165.66
2961.88		0.49		3160.39
2961.88		0.48		3155.12
2961.88		0.47		3149.86
2961.88		0.46		3144.6
2961.88		0.45		3139.34
2961.88		0.44		3134.08
2961.88		0.43		3128.83
2961.88		0.42		3123.59
2961.88		0.41		3118.34
2961.88		0.4		3113.1
2961.88		0.39		3107.86
2961.88		0.38		3102.63
2961.88		0.37		3097.4
2961.88		0.36		3092.17
2961.88		0.35		3086.95
2961.88		0.34		3081.73
2961.88		0.33		3076.51
2961.88		0.32		3071.3
2961.88		0.31		3066.09
2961.88		0.3		3060.88
2961.88		0.29		3055.68
2961.88		0.28		3050.48
2961.88		0.27		3045.28
2961.88		0.26		3040.09
2961.88		0.25		3034.9
2961.88		0.24		3029.7199
2961.88		0.23		3024.53
2961.88		0.22		3019.36
2961.88		0.21		3014.18
2961.88		0.2		3009.01
2961.88		0.19		3003.84
2961.88		0.18		2998.67
2961.88		0.17		2993.51
2961.88		0.16		2988.35
2961.88		0.15		2983.2
2961.88		0.14		2978.05
2961.88		0.13		2972.9
2961.88		0.12		2967.75
2961.88		0.11		2962.61
2961.88		0.1		2957.48
2961.88		0.09		2952.34
2961.88		0.08		2947.21
2961.88		0.07		2942.08
2961.88		0.06		2936.96
2961.88		0.05		2931.84
2961.88		0.04		2926.7199
2961.88		0.03		2921.61
2961.88		0.02		2916.4899
2961.88		0.01		2911.39
2961.88		0.0		2906.28
3432.97		1.0		3928.42
3432.97		0.99		3922.69
3432.97		0.98		3916.96
3432.97		0.97		3911.23
3432.97		0.96		3905.51
3432.97		0.95		3899.79
3432.97		0.94		3894.08
3432.97		0.93		3888.36
3432.97		0.92		3882.66
3432.97		0.91		3876.95
3432.97		0.9		3871.25
3432.97		0.89		3865.55
3432.97		0.88		3859.85
3432.97		0.87		3854.16
3432.97		0.86		3848.47
3432.97		0.85		3842.78
3432.97		0.84		3837.1
3432.97		0.83		3831.42
3432.97		0.82		3825.74
3432.97		0.81		3820.07
3432.97		0.8		3814.4
3432.97		0.79		3808.73
3432.97		0.78		3803.07
3432.97		0.77		3797.41
3432.97		0.76		3791.75
3432.97		0.75		3786.09
3432.97		0.74		3780.44
3432.97		0.73		3774.79
3432.97		0.72		3769.15
3432.97		0.71		3763.51
3432.97		0.7		3757.87
3432.97		0.69		3752.24
3432.97		0.68		3746.6
3432.97		0.67		3740.97
3432.97		0.66		3735.35
3432.97		0.65		3729.73
3432.97		0.64		3724.11
3432.97		0.63		3718.49
3432.97		0.62		3712.88
3432.97		0.61		3707.27
3432.97		0.6		3701.66
3432.97		0.59		3696.06
3432.97		0.58		3690.46
3432.97		0.57		3684.86
3432.97		0.56		3679.27
3432.97		0.55		3673.68
3432.97		0.54		3668.09
3432.97		0.53		3662.5
3432.97		0.52		3656.92
3432.97		0.51		3651.34
3432.97		0.5		3645.77
3432.97		0.49		3640.2
3432.97		0.48		3634.63
3432.97		0.47		3629.06
3432.97		0.46		3623.5
3432.97		0.45		3617.94
3432.97		0.44		3612.39
3432.97		0.43		3606.83
3432.97		0.42		3601.28
3432.97		0.41		3595.74
3432.97		0.4		3590.19
3432.97		0.39		3584.65
