304.52,305.04,305.02,287.6,287.5,8.34E-004
304.82,305.34,305.32,290.1,290,8.01E-004
305.11,305.63,305.61,292.6,292.5,9.45E-004
305.39,305.91,305.89,295.1,295,9.81E-004
305.67,306.19,306.17,297.6,297.5,9.74E-004
305.95,306.47,306.45,300.09,300,7.21E-004
306.21,306.73,306.71,302.59,302.5,0
306.47,306.99,306.97,305.09,305,0
306.72,307.24,307.22,307.59,307.5,6.94E-004
306.97,307.49,307.47,310.09,310,7.75E-004
307.21,307.72,307.71,312.59,312.5,0
307.44,307.95,307.94,315.09,315,7.55E-004
307.66,308.18,308.16,317.59,317.5,8.72E-004
